Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     93    0.8%          /lib/x86_64-linux-gnu/libc-2.19.so
     83    0.7%          [vdso]
     10    0.1%          /lib/x86_64-linux-gnu/libpthread-2.19.so
      1    0.0%          /lib/x86_64-linux-gnu/libm-2.19.so

 [JavaScript]:
   ticks  total  nonlib   name
    929    7.5%    7.6%  LoadIC: A load IC from the snapshot
    324    2.6%    2.7%  StoreIC: A store IC from the snapshot
    224    1.8%    1.8%  LazyCompile: *update /home/ubuntu/workspace/arras.io/src/server/server.js:1491:13
    222    1.8%    1.8%  Builtin: Call_ReceiverIsNotNullOrUndefined
    110    0.9%    0.9%  LazyCompile: *Entity.getAABB.updateAABB.active /home/ubuntu/workspace/arras.io/src/server/server.js:1558:22
     96    0.8%    0.8%  LazyCompile: *entities.forEach.e /home/ubuntu/workspace/arras.io/src/server/server.js:4123:20
     91    0.7%    0.7%  Builtin: CallFunction_ReceiverIsAny
     63    0.5%    0.5%  LazyCompile: *death /home/ubuntu/workspace/arras.io/src/server/server.js:2088:7
     50    0.4%    0.4%  Builtin: InterpreterEntryTrampoline
     49    0.4%    0.4%  LazyCompile: *<anonymous> /home/ubuntu/workspace/arras.io/src/server/server.js:249:24
     46    0.4%    0.4%  LazyCompile: *HSHG.queryForCollisionPairs /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:95:50
     37    0.3%    0.3%  LazyCompile: *listOnTimeout timers.js:205:23
     36    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     34    0.3%    0.3%  LazyCompile: *my /home/ubuntu/workspace/arras.io/src/server/server.js:1360:9
     34    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     33    0.3%    0.3%  LazyCompile: *get size /home/ubuntu/workspace/arras.io/src/server/server.js:1799:10
     33    0.3%    0.3%  Builtin: FastArrayPush
     31    0.3%    0.3%  Builtin: LoadIC_Noninlined
     29    0.2%    0.2%  Builtin: KeyedLoadIC_Megamorphic
     28    0.2%    0.2%  LazyCompile: *entities.forEach.instance /home/ubuntu/workspace/arras.io/src/server/server.js:4565:20
     26    0.2%    0.2%  LazyCompile: *face /home/ubuntu/workspace/arras.io/src/server/server.js:1982:6
     25    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
     23    0.2%    0.2%  LazyCompile: *HSHG.addObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:35:37
     22    0.2%    0.2%  Builtin: ArrayForEach
     21    0.2%    0.2%  LazyCompile: *camera /home/ubuntu/workspace/arras.io/src/server/server.js:1815:8
     20    0.2%    0.2%  Stub: CallICStub
     20    0.2%    0.2%  LazyCompile: *Grid.removeObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:232:40
     19    0.2%    0.2%  LazyCompile: *entities.forEach.e /home/ubuntu/workspace/arras.io/src/server/server.js:4132:20
     19    0.2%    0.2%  Function: ~update /home/ubuntu/workspace/arras.io/src/server/server.js:1491:13
     18    0.1%    0.1%  Function: ~refreshBodyAttributes /home/ubuntu/workspace/arras.io/src/server/server.js:1759:23
     18    0.1%    0.1%  Function: ~death /home/ubuntu/workspace/arras.io/src/server/server.js:2088:7
     17    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     16    0.1%    0.1%  Builtin: ArrayFilter
     15    0.1%    0.1%  Function: ~insert timers.js:154:16
     15    0.1%    0.1%  Builtin: FastNewClosure
     14    0.1%    0.1%  LazyCompile: *gameloop /home/ubuntu/workspace/arras.io/src/server/server.js:4119:9
     13    0.1%    0.1%  Function: ~gameloop /home/ubuntu/workspace/arras.io/src/server/server.js:4119:9
     12    0.1%    0.1%  Stub: JSEntryStub
     12    0.1%    0.1%  LoadIC: A load IC from the snapshot {1}
     12    0.1%    0.1%  Function: ~npcCensus /home/ubuntu/workspace/arras.io/src/server/server.js:4291:46
     10    0.1%    0.1%  LazyCompile: *my.controllers.forEach.AI /home/ubuntu/workspace/arras.io/src/server/server.js:1372:26
     10    0.1%    0.1%  Function: ~listify /home/ubuntu/workspace/arras.io/src/server/server.js:3521:22
     10    0.1%    0.1%  Function: ~incoming /home/ubuntu/workspace/arras.io/src/server/server.js:2622:21
     10    0.1%    0.1%  Function: ~entities.map.e /home/ubuntu/workspace/arras.io/src/server/server.js:515:26
     10    0.1%    0.1%  Function: ~define /home/ubuntu/workspace/arras.io/src/server/server.js:1597:8
      9    0.1%    0.1%  Stub: MathPowStub
      9    0.1%    0.1%  Stub: CallApiCallbackStub {1}
      9    0.1%    0.1%  Function: ~tryOnTimeout timers.js:296:22
      9    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic
      9    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      9    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      8    0.1%    0.1%  StoreIC: A store IC from the snapshot {1}
      8    0.1%    0.1%  LazyCompile: *location /home/ubuntu/workspace/arras.io/src/server/server.js:2060:10
      8    0.1%    0.1%  LazyCompile: *entities.forEach.instance /home/ubuntu/workspace/arras.io/src/server/server.js:2195:20
      8    0.1%    0.1%  LazyCompile: *challenge /home/ubuntu/workspace/arras.io/src/server/server.js:3425:26
      8    0.1%    0.1%  Function: ~think /home/ubuntu/workspace/arras.io/src/server/server.js:546:7
      8    0.1%    0.1%  Function: ~entities.forEach.instance /home/ubuntu/workspace/arras.io/src/server/server.js:2195:20
      8    0.1%    0.1%  Function: ~entities.forEach /home/ubuntu/workspace/arras.io/src/server/server.js:3503:24
      8    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic_Strict
      7    0.1%    0.1%  Stub: CallApiCallbackStub
      7    0.1%    0.1%  LazyCompile: *InnerArrayFindIndex native array.js:861:29
      7    0.1%    0.1%  Function: ~ontimeout timers.js:463:19
      7    0.1%    0.1%  Function: ~nearest /home/ubuntu/workspace/arras.io/src/server/server.js:243:17
      7    0.1%    0.1%  Function: ~entities.forEach.instance /home/ubuntu/workspace/arras.io/src/server/server.js:4565:20
      7    0.1%    0.1%  Function: ~emitAfterScript async_hooks.js:439:25
      7    0.1%    0.1%  Function: ~Entity /home/ubuntu/workspace/arras.io/src/server/server.js:1454:13
      7    0.1%    0.1%  Builtin: StrictEqual
      7    0.1%    0.1%  Builtin: ArrayMap
      6    0.0%    0.0%  Stub: StringAddStub
      6    0.0%    0.0%  LazyCompile: *exports.gauss /home/ubuntu/workspace/arras.io/src/server/lib/random.js:26:17
      6    0.0%    0.0%  LazyCompile: *entities.map.instance /home/ubuntu/workspace/arras.io/src/server/server.js:4485:24
      6    0.0%    0.0%  LazyCompile: *arr.forEach /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:74:15
      6    0.0%    0.0%  Function: ~recoil /home/ubuntu/workspace/arras.io/src/server/server.js:1125:8
      6    0.0%    0.0%  Function: ~my /home/ubuntu/workspace/arras.io/src/server/server.js:1360:9
      6    0.0%    0.0%  Function: ~live /home/ubuntu/workspace/arras.io/src/server/server.js:1156:6
      6    0.0%    0.0%  Function: ~gazeUpon /home/ubuntu/workspace/arras.io/src/server/server.js:3333:17
      6    0.0%    0.0%  Function: ~face /home/ubuntu/workspace/arras.io/src/server/server.js:1982:6
      6    0.0%    0.0%  Function: ~exports.decode.raw /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:122:9
      6    0.0%    0.0%  Function: ~emitBeforeScript async_hooks.js:418:26
      6    0.0%    0.0%  Function: ~check /home/ubuntu/workspace/arras.io/src/server/server.js:3312:19
      6    0.0%    0.0%  Function: ~camera /home/ubuntu/workspace/arras.io/src/server/server.js:1815:8
      6    0.0%    0.0%  Function: ~advancedCollide /home/ubuntu/workspace/arras.io/src/server/server.js:3875:27
      6    0.0%    0.0%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      6    0.0%    0.0%  Function: ~Entity.getAABB.updateAABB.active /home/ubuntu/workspace/arras.io/src/server/server.js:1558:22
      6    0.0%    0.0%  Builtin: JSEntryTrampoline
      5    0.0%    0.0%  LazyCompile: *update /home/ubuntu/workspace/arras.io/src/server/server.js:932:8
      5    0.0%    0.0%  LazyCompile: *move /home/ubuntu/workspace/arras.io/src/server/server.js:1876:6
      5    0.0%    0.0%  LazyCompile: *isDead /home/ubuntu/workspace/arras.io/src/server/server.js:2210:8
      5    0.0%    0.0%  LazyCompile: *check /home/ubuntu/workspace/arras.io/src/server/server.js:3330:14
      5    0.0%    0.0%  LazyCompile: *ARC4.me.g /home/ubuntu/workspace/arras.io/node_modules/seedrandom/seedrandom.js:134:19
      5    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      5    0.0%    0.0%  Function: ~update_RECOMPUTE /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:2:27
